------------------------------------------
Script start.sh iniciado en: mar 05 ago 2025 21:06:43 CEST
------------------------------------------
Paso 1: Pausa inicial de 15 segundos...
Pausa completada.
Paso 2: Navegando al directorio del script...
Directorio actual: /home/pizero/estacion_meteo
Paso 3: Exportando la variable de entorno DISPLAY...
DISPLAY establecido a: :0
Paso 4: Intentando lanzar main.py con el Python del sistema...
Ruta de Python 3: /usr/bin/python3
2025-08-11 19:20:45 - root - INFO - Cambiando a página 1
2025-08-11 19:20:45 - root - INFO - Cambiando a página 2
2025-08-11 19:20:46 - root - INFO - Cambiando a página 0
2025-08-11 19:20:47 - root - INFO - Cambiando a página 1
2025-08-11 19:21:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:21:00 - root - INFO - Nuevo dato de temperatura añadido al historial. Tamaño actual: 15
2025-08-11 19:21:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:21:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:21:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:21:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:21:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:21:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:21:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:21:02 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 19:21:02 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 19:21:59 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:21:59 - root - INFO - Nuevo dato de temperatura añadido al historial. Tamaño actual: 16
2025-08-11 19:21:59 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:21:59 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:21:59 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:21:59 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:21:59 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:21:59 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:21:59 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:22:02 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 19:22:02 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 19:23:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:23:00 - root - INFO - Nuevo dato de temperatura añadido al historial. Tamaño actual: 17
2025-08-11 19:23:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:23:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:23:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:23:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:23:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:23:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:23:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:23:02 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 19:23:02 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 19:24:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:24:00 - root - INFO - Nuevo dato de temperatura añadido al historial. Tamaño actual: 18
2025-08-11 19:24:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:24:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:24:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:24:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:24:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:24:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:24:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:24:02 - root - INFO - Iniciando lectura de sensores y sistema local...
2025-08-11 19:24:02 - root - INFO - Datos de 'Estacion Interior' reenviados a ThingsBoard.
2025-08-11 19:25:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
2025-08-11 19:25:00 - root - INFO - Nuevo dato de temperatura añadido al historial. Tamaño actual: 19
2025-08-11 19:25:00 - root - INFO - Datos de 'Estacion Exterior' reenviados a ThingsBoard.
